Q9LPR8	Q9ZUL3
O81836	Q9MAH8
O81836	Q9FME3
O81836	Q93V43
O81836	Q9C758
Q9C5W9	Q9FKM7
O24409	Q9XFM0
Q9C5X0	Q38825
Q38828	P33078
O24409	Q8LAL2
Q9C5X0	Q9XFM0
Q8LAL2	Q9XFM0
Q38822	O24409
P33078	Q38831
Q8RYC8	Q38825
Q38831	O24409
Q9C5X0	Q8H174
Q38828	Q94JM3
P46639	P48731
Q38822	P33078
Q9C5X0	O24409
Q9C5X0	P33078
Q9XFM0	Q9FKM7
Q38822	Q9ZSY8
Q38822	Q9C5X0
Q38828	Q8H174
O24409	Q8H174
